CAN;FRA;GBR;GER;ITA;JPN
0;0;0;0;0;0
0.0415267;-0.2464691;-0.3965237;-0.2571969;-0.4647495;-0.4871152
0.0739271;-0.1287036;-0.3380692;-0.1571152;-0.3868704;-0.3282385
0.0869474;0.0139657;-0.3171077;0.0299996;-0.2999114;-0.1444249
0.130975;-0.0207709;-0.2892674;0.0467298;-0.3031412;-0.1060853
0.1107606;0.1266707;-0.2162574;0.0647292;-0.25422;-0.1370096
0.1701307;0.0715203;-0.3327229;0.026135;-0.3757247;-0.1154639
0.1062595;0.0726523;-0.305733;0.0766276;-0.3334261;-0.0196011
0.0407255;0.1798978;-0.1809432;0.1870611;-0.2404756;0.1897385
0.0121106;0.2502245;-0.0358741;0.2362844;-0.1523089;0.1081157
0.009981;0.2752227;0.1233252;0.2085412;-0.0783752;0.0475821
0.0159561;0.0614785;-0.0027028;-0.0353468;-0.2619918;0.0282842
0.0273933;-0.0739167;-0.1259611;-0.1211037;-0.3419799;-0.1267696
0.0428919;-0.1669405;-0.2491143;-0.1761928;-0.3562224;-0.0891331
-0.0054568;-0.2631808;-0.3653978;-0.2898897;-0.4218739;-0.092811
-0.0545817;-0.2692757;-0.3787859;-0.3316623;-0.4503754;-0.1100226
-0.0601476;-0.0065063;-0.2253239;-0.0464869;-0.1733386;0.2175148
-0.0112104;0.1314233;-0.0975811;0.1230044;-0.0075966;0.3419759
0.0650072;0.1330684;0.00904;0.1259788;0.0228442;0.433014
0.1060967;0.0637957;-0.0429385;0.0486129;-0.0043132;0.3463127
0.122853;0.1993135;0.0643866;0.1887198;0.1581269;0.2884964
0.1510754;0.1638886;0.0867711;0.1712614;0.1593485;0.3582779
0.0941702;0.2217515;0.0941933;0.2505539;0.1878383;0.4123037
0.0279926;0.1590621;-0.0579215;0.2083752;-0.0230287;0.53293
-0.0387491;0.1733804;-0.0362671;0.2306368;-0.0293519;0.6033303
-0.0538792;0.2689994;0.0074845;0.3504944;-0.008977;0.6616387
-0.0530216;0.2484495;0.0105002;0.2950785;0.0748731;0.4983072
-0.0739657;0.112593;0.0652556;0.15115;-0.0093902;0.3904031
-0.1338033;0.1000083;0.0917415;0.1336147;-0.0133336;0.3072127
-0.139118;0.0404995;0.0731355;0.0789919;-0.0588858;0.4231789
-0.1422624;-0.111492;-0.0029946;-0.0825117;-0.1886056;0.4437941
-0.1861741;-0.1478306;-0.0532421;-0.1216702;-0.2159861;0.2897162
-0.1970576;-0.0991214;-0.0086867;-0.0794598;-0.1581942;0.2294885
-0.0969025;0.0752622;0.0804936;0.0874956;0.0260594;0.2746264
